"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","none","46","58","59"
"female","group C","some college","standard","none","53","76","68"
"female","group D","bachelor's degree","standard","completed","90","100","100"
"male","group B","associate's degree","free/reduced","completed","62","68","63"
"male","group E","associate's degree","free/reduced","completed","67","60","58"
"female","group B","associate's degree","standard","none","89","95","92"
"female","group C","high school","standard","completed","51","54","57"
"male","group C","some high school","standard","none","86","77","72"
"female","group D","associate's degree","standard","completed","59","69","68"
"male","group C","some college","standard","none","68","63","61"
"male","group C","associate's degree","free/reduced","none","76","71","65"
"male","group A","some high school","free/reduced","completed","48","53","51"
"male","group D","associate's degree","standard","none","57","49","42"
"male","group D","high school","standard","none","78","74","71"
"male","group C","some college","standard","none","73","78","72"
"female","group D","some college","free/reduced","none","58","77","75"
"female","group C","some college","standard","completed","79","83","94"
"male","group A","some high school","standard","none","77","66","65"
"male","group E","some high school","standard","none","66","42","50"
"male","group E","bachelor's degree","standard","none","86","80","78"
"male","group B","some college","standard","completed","85","82","79"
"female","group C","associate's degree","standard","none","50","43","46"
"female","group D","associate's degree","free/reduced","none","35","53","47"
"female","group A","high school","standard","none","74","90","81"
"male","group D","some high school","free/reduced","none","48","49","48"
"male","group B","associate's degree","standard","none","87","83","82"
"male","group B","associate's degree","free/reduced","none","66","74","63"
"male","group C","some college","standard","none","75","62","56"
"female","group C","some college","standard","none","59","71","66"
"female","group C","some high school","standard","completed","50","62","61"
"male","group D","high school","free/reduced","completed","70","67","65"
"male","group C","master's degree","standard","completed","68","64","64"
"male","group E","master's degree","standard","none","94","80","79"
"male","group A","some high school","standard","completed","68","73","66"
"female","group B","some high school","standard","completed","53","68","70"
"female","group B","associate's degree","standard","none","56","65","62"
"female","group D","some college","standard","none","75","75","73"
"female","group E","some college","standard","none","57","69","71"
"female","group C","some college","standard","none","71","86","82"
"male","group C","some college","free/reduced","completed","72","67","65"
"male","group D","some college","standard","none","22","23","23"
"male","group A","some college","standard","none","89","80","72"
"female","group C","some high school","free/reduced","none","63","74","77"
"male","group D","bachelor's degree","standard","none","75","60","71"
"male","group D","bachelor's degree","free/reduced","none","75","65","64"
"male","group C","some college","free/reduced","none","54","50","53"
"female","group B","some college","free/reduced","none","74","87","82"
"female","group B","associate's degree","free/reduced","completed","52","70","70"
"female","group A","associate's degree","free/reduced","none","32","41","41"
"male","group A","some college","standard","none","56","55","47"
"male","group C","some high school","standard","none","50","40","39"
"male","group D","associate's degree","standard","none","77","78","78"
"male","group A","high school","free/reduced","none","52","53","49"
"male","group D","high school","standard","completed","78","79","76"
"female","group A","some college","free/reduced","completed","54","65","71"
"male","group B","some college","standard","none","66","53","48"
"male","group C","bachelor's degree","free/reduced","none","80","79","76"
"female","group C","some high school","standard","none","62","68","69"
"male","group D","bachelor's degree","standard","completed","80","76","76"
"female","group B","master's degree","standard","completed","95","100","100"
"female","group B","some high school","free/reduced","completed","33","60","56"
"female","group D","some college","standard","none","62","70","68"
"male","group B","bachelor's degree","free/reduced","none","71","67","68"
"male","group B","bachelor's degree","standard","none","77","62","62"
"male","group C","some high school","standard","completed","81","83","80"
"male","group E","master's degree","free/reduced","none","80","69","71"
"male","group C","master's degree","standard","none","58","55","53"
"male","group C","some high school","standard","none","55","54","55"
"male","group D","some high school","free/reduced","none","50","42","39"
"female","group B","master's degree","standard","completed","57","85","86"
"female","group E","bachelor's degree","standard","none","72","85","83"
"female","group E","master's degree","free/reduced","none","64","68","76"
"male","group B","some college","standard","none","81","74","67"
"male","group D","associate's degree","standard","none","84","74","72"
"male","group E","some college","standard","completed","91","79","81"
"male","group C","some high school","free/reduced","completed","54","51","52"
"female","group C","some college","standard","completed","79","89","90"
"female","group B","high school","standard","none","50","76","70"
"female","group B","bachelor's degree","free/reduced","completed","73","90","90"
"male","group D","bachelor's degree","free/reduced","none","57","64","67"
"male","group E","associate's degree","standard","none","83","80","75"
"female","group E","associate's degree","standard","none","100","99","93"
"male","group D","some high school","standard","none","63","68","63"
"female","group B","some high school","free/reduced","none","19","34","36"
"male","group B","associate's degree","standard","completed","74","82","76"
"male","group D","associate's degree","standard","none","71","62","61"
"male","group D","bachelor's degree","standard","none","72","64","66"
"female","group D","master's degree","standard","completed","84","90","94"
"male","group C","high school","standard","none","31","24","20"
"male","group C","associate's degree","standard","completed","94","88","93"
"male","group B","associate's degree","standard","none","75","74","66"
"female","group C","bachelor's degree","standard","none","76","80","84"
"female","group C","some college","free/reduced","none","49","76","76"
"female","group D","associate's degree","free/reduced","completed","38","55","60"
"female","group C","high school","standard","none","58","78","71"
"female","group C","bachelor's degree","standard","none","50","58","58"
"male","group D","some college","free/reduced","none","58","58","56"
"male","group C","some college","standard","none","73","63","64"
"female","group A","some high school","standard","completed","57","72","73"
"male","group B","some high school","standard","none","54","50","42"
"male","group B","associate's degree","free/reduced","completed","70","61","71"
"female","group C","associate's degree","free/reduced","none","58","64","64"
"female","group B","bachelor's degree","standard","none","75","85","85"
"female","group C","associate's degree","standard","none","90","96","96"
"male","group A","high school","standard","none","45","52","40"
"female","group B","some high school","standard","completed","60","75","77"
"male","group A","associate's degree","free/reduced","none","59","57","53"
"male","group E","some high school","standard","none","94","86","75"
"female","group D","some college","free/reduced","none","68","84","85"
"male","group A","some college","standard","none","61","66","56"
"male","group C","associate's degree","standard","completed","71","75","80"
"female","group C","some college","free/reduced","completed","26","42","47"
"female","group B","some college","standard","completed","76","80","80"
"female","group D","some high school","standard","none","82","86","88"
"male","group C","bachelor's degree","free/reduced","none","80","77","79"
"male","group B","high school","standard","none","77","71","68"
"male","group C","high school","standard","completed","65","62","59"
"male","group D","high school","free/reduced","none","52","47","48"
"male","group C","some college","standard","none","93","82","83"
"female","group B","associate's degree","standard","none","71","79","79"
"female","group B","high school","free/reduced","none","38","46","40"
"female","group E","associate's degree","standard","none","78","81","85"
"female","group C","high school","standard","none","69","67","70"
"male","group D","some college","standard","none","97","81","88"
"male","group C","high school","standard","none","75","72","71"
"male","group C","some college","standard","completed","70","62","69"
"female","group C","associate's degree","standard","none","78","77","74"
"male","group C","some college","standard","none","67","62","63"
"male","group D","associate's degree","standard","completed","71","66","70"
"male","group C","high school","free/reduced","none","72","61","68"
"female","group D","associate's degree","free/reduced","completed","62","74","79"
"female","group C","bachelor's degree","standard","none","62","75","71"
"female","group B","some college","standard","completed","66","73","77"
"male","group D","bachelor's degree","standard","completed","77","73","78"
"male","group C","some high school","standard","completed","77","76","76"
"male","group C","some college","free/reduced","none","56","64","56"
"male","group C","some college","standard","none","98","78","81"
"female","group C","high school","free/reduced","completed","72","82","79"
"male","group B","high school","standard","completed","74","70","71"
"female","group E","some high school","standard","none","76","79","75"
"male","group D","master's degree","standard","none","92","88","92"
"female","group D","some high school","standard","none","61","66","65"
"male","group C","some college","standard","none","32","29","23"
"female","group D","some college","standard","none","65","76","78"
"male","group B","associate's degree","standard","none","91","85","77"
"female","group E","some college","free/reduced","none","55","60","58"
"male","group C","master's degree","standard","completed","64","70","73"
"male","group C","some high school","free/reduced","none","71","66","59"
"female","group C","bachelor's degree","standard","completed","67","70","81"
"male","group D","some high school","standard","none","67","58","53"
"male","group B","associate's degree","free/reduced","completed","68","69","68"
"female","group C","some high school","standard","completed","77","77","71"
"male","group B","some college","standard","completed","70","62","67"
"female","group D","high school","standard","none","47","61","59"
"female","group B","associate's degree","standard","none","57","62","62"
"male","group C","high school","free/reduced","none","77","65","60"
"female","group E","associate's degree","standard","completed","100","97","97"
"female","group B","some college","standard","none","55","71","68"
"female","group E","some high school","standard","completed","91","97","94"
"male","group B","master's degree","standard","none","85","91","85"
"male","group C","some college","standard","none","72","76","73"
"female","group E","bachelor's degree","standard","none","89","89","89"
"female","group D","bachelor's degree","free/reduced","none","55","61","65"
"female","group C","master's degree","free/reduced","none","50","70","72"
"male","group C","bachelor's degree","free/reduced","none","58","52","48"
"male","group C","some college","free/reduced","completed","70","66","74"
"female","group D","some high school","standard","none","67","81","78"
"female","group C","some high school","standard","none","62","85","72"
"female","group E","high school","standard","completed","79","85","82"
"female","group B","associate's degree","standard","none","83","91","86"
"male","group C","master's degree","free/reduced","none","62","46","49"
"female","group B","master's degree","free/reduced","none","47","59","60"
"male","group B","bachelor's degree","free/reduced","none","65","52","56"
"male","group C","high school","free/reduced","completed","51","53","49"
"male","group B","some high school","free/reduced","none","66","68","60"
"male","group D","some high school","standard","none","67","63","50"
"male","group D","some college","standard","none","65","64","66"
"male","group A","master's degree","standard","none","82","79","75"
"male","group C","some college","standard","completed","61","59","60"
"female","group E","high school","free/reduced","completed","91","100","97"
"female","group C","high school","free/reduced","none","42","50","46"
"female","group E","some college","standard","none","68","72","68"
"female","group D","some high school","free/reduced","completed","79","93","92"
"female","group A","associate's degree","standard","none","57","65","60"
"male","group A","high school","free/reduced","none","46","38","29"
"female","group B","bachelor's degree","free/reduced","none","68","81","73"
"male","group E","some college","standard","completed","93","93","86"
"male","group A","high school","free/reduced","completed","56","67","57"
"female","group B","master's degree","free/reduced","none","51","63","62"
"male","group E","high school","standard","completed","100","100","92"
"male","group D","high school","free/reduced","none","77","58","62"
"female","group E","some college","standard","completed","80","86","84"
"male","group E","master's degree","free/reduced","completed","67","57","61"
"female","group B","bachelor's degree","standard","none","78","85","81"
"female","group B","high school","free/reduced","completed","50","65","63"
"male","group C","high school","standard","none","51","45","49"
"female","group C","some high school","free/reduced","none","68","84","74"
"female","group D","associate's degree","free/reduced","none","52","67","65"
"female","group D","some college","standard","none","69","83","78"
"male","group C","some high school","standard","none","45","40","34"
"male","group B","some high school","free/reduced","none","53","53","47"
"male","group D","associate's degree","standard","none","58","50","53"
"female","group E","associate's degree","free/reduced","none","54","68","65"
"male","group D","master's degree","standard","none","80","72","77"
"female","group D","some high school","free/reduced","none","46","58","61"
"male","group B","some college","free/reduced","none","41","47","39"
"female","group B","some college","standard","none","59","74","70"
"female","group C","some college","standard","completed","83","79","88"
"female","group D","some high school","standard","completed","90","87","94"
"female","group D","high school","standard","none","60","78","75"
"male","group C","some college","standard","none","64","53","49"
"male","group C","associate's degree","standard","none","83","80","77"
"female","group C","high school","standard","none","61","71","69"
"male","group A","some high school","standard","none","76","73","69"
"female","group A","bachelor's degree","standard","none","84","90","90"
"male","group D","some college","standard","none","60","54","55"
"male","group C","high school","standard","none","59","62","54"
"male","group D","associate's degree","standard","completed","91","85","94"
"male","group D","associate's degree","standard","none","63","59","65"
"female","group C","associate's degree","standard","completed","74","75","78"
"male","group D","high school","free/reduced","completed","84","77","80"
"male","group C","associate's degree","standard","completed","69","63","62"
"male","group C","some college","free/reduced","none","53","62","53"
"male","group A","bachelor's degree","standard","completed","68","80","77"
"male","group C","high school","standard","none","84","72","76"
"male","group D","some college","free/reduced","none","77","80","71"
"female","group B","some college","free/reduced","none","52","63","65"
"female","group D","some high school","standard","none","73","89","88"
"male","group C","bachelor's degree","standard","completed","68","64","64"
"male","group B","bachelor's degree","standard","completed","71","75","69"
"male","group C","bachelor's degree","free/reduced","none","53","58","56"
"female","group D","some college","standard","none","48","58","62"
"female","group C","associate's degree","free/reduced","completed","58","62","70"
"female","group C","high school","standard","none","61","62","64"
"female","group C","some college","free/reduced","none","51","59","62"
"male","group A","bachelor's degree","standard","completed","68","58","66"
"female","group C","some college","free/reduced","none","40","60","55"
"male","group B","some high school","free/reduced","completed","57","56","55"
"male","group C","some college","standard","completed","52","48","49"
"female","group E","bachelor's degree","standard","none","72","83","84"
"female","group D","associate's degree","free/reduced","completed","75","86","94"
"male","group C","bachelor's degree","free/reduced","none","68","74","66"
"female","group C","some high school","free/reduced","none","64","85","73"
"female","group C","associate's degree","standard","none","58","71","72"
"male","group C","some college","standard","completed","94","91","88"
"male","group E","high school","standard","none","73","70","67"
"female","group D","associate's degree","standard","none","39","41","48"
"male","group C","some college","standard","none","61","53","45"
"male","group C","master's degree","free/reduced","none","48","40","42"
"male","group E","some college","free/reduced","none","77","77","72"
"female","group B","associate's degree","free/reduced","none","69","69","78"
"female","group B","some high school","standard","completed","49","59","60"
"female","group E","associate's degree","standard","none","73","76","77"
"male","group B","some college","standard","none","88","83","85"
"female","group C","some college","standard","none","88","95","91"
"female","group B","some college","standard","none","81","78","82"
"female","group C","bachelor's degree","free/reduced","completed","67","87","90"
"female","group E","high school","free/reduced","none","63","64","61"
"female","group B","master's degree","standard","none","75","81","84"
"female","group D","some college","free/reduced","none","70","72","73"
"female","group E","associate's degree","free/reduced","none","62","73","73"
"male","group B","associate's degree","free/reduced","completed","62","67","60"
"male","group C","master's degree","standard","none","100","86","85"
"male","group D","some college","free/reduced","none","63","64","56"
"male","group A","some college","standard","none","69","55","59"
"female","group D","high school","free/reduced","none","42","50","50"
"female","group C","some high school","standard","none","80","88","87"
"female","group B","some college","standard","none","80","73","84"
"male","group D","high school","standard","none","95","88","89"
"male","group A","high school","free/reduced","none","68","66","57"
"female","group D","associate's degree","standard","none","76","83","85"
"female","group D","some high school","standard","none","78","80","86"
"female","group E","some college","standard","completed","84","90","89"
"male","group B","some college","standard","completed","69","66","62"
"male","group C","some college","standard","none","66","64","60"
"female","group D","bachelor's degree","standard","completed","85","91","95"
"female","group E","associate's degree","standard","completed","76","74","75"
"male","group E","some high school","free/reduced","none","56","56","44"
"female","group D","some college","standard","completed","67","79","82"
"female","group D","associate's degree","free/reduced","completed","47","68","70"
"male","group D","some high school","standard","completed","74","83","82"
"female","group E","associate's degree","free/reduced","completed","79","92","92"
"male","group D","some college","standard","none","50","55","50"
"male","group D","associate's degree","standard","none","91","84","80"
"female","group B","associate's degree","free/reduced","completed","71","88","93"
"male","group B","bachelor's degree","standard","none","80","82","74"
"male","group B","some high school","standard","none","48","58","48"
"female","group B","some high school","free/reduced","none","61","70","68"
"male","group E","some college","free/reduced","none","68","55","52"
"female","group E","high school","standard","none","82","90","90"
"female","group A","some college","free/reduced","none","58","63","57"
"female","group C","some college","standard","completed","79","93","98"
"female","group E","master's degree","standard","none","86","96","97"
"male","group C","associate's degree","standard","none","87","87","84"
"female","group C","some high school","free/reduced","none","37","50","43"
"male","group C","associate's degree","standard","none","71","78","76"
"male","group A","some college","standard","none","72","59","56"
"female","group A","bachelor's degree","free/reduced","none","49","60","62"
"male","group C","bachelor's degree","standard","none","96","95","86"
"male","group A","high school","standard","completed","58","67","62"
"male","group C","some college","free/reduced","completed","70","75","70"
"female","group C","bachelor's degree","standard","completed","89","90","96"
"male","group B","some high school","standard","none","71","54","52"
"male","group B","some college","free/reduced","none","51","44","40"
"female","group C","high school","standard","none","70","72","64"
"female","group D","some high school","standard","none","60","72","73"
"male","group C","bachelor's degree","free/reduced","none","31","38","42"
"male","group D","high school","standard","none","61","63","62"
"female","group B","high school","standard","none","42","48","46"
"female","group D","high school","free/reduced","none","52","60","62"
"male","group C","associate's degree","free/reduced","completed","74","72","76"
"male","group C","some high school","standard","completed","55","62","58"
"female","group B","associate's degree","free/reduced","completed","48","69","72"
"male","group B","some college","free/reduced","completed","64","69","63"
"female","group B","some college","free/reduced","none","50","61","57"
"female","group C","master's degree","standard","completed","60","72","80"
"female","group C","some high school","standard","none","52","59","61"
"male","group B","high school","standard","completed","75","73","71"
"female","group D","associate's degree","standard","completed","67","77","76"
"female","group E","some high school","standard","none","85","84","79"
"male","group C","associate's degree","standard","none","74","79","76"
"male","group E","high school","standard","none","69","60","56"
"male","group E","associate's degree","standard","none","86","76","69"
"female","group C","associate's degree","standard","none","74","75","82"
"female","group D","some college","standard","completed","88","92","94"
"female","group C","high school","standard","completed","74","83","83"
"female","group C","some high school","standard","none","66","70","67"
"male","group B","high school","standard","none","64","66","55"
"female","group B","bachelor's degree","free/reduced","none","55","71","73"
"male","group C","associate's degree","standard","none","74","81","72"
"male","group D","some college","free/reduced","none","68","57","52"
"male","group B","associate's degree","standard","none","77","73","71"
"male","group B","some high school","standard","completed","62","57","52"
"female","group B","high school","standard","none","49","62","58"
"female","group D","high school","standard","none","68","67","76"
"female","group D","some college","standard","none","50","65","61"
"female","group C","some college","standard","none","60","63","66"
"male","group E","some high school","free/reduced","none","59","51","45"
"female","group B","associate's degree","standard","none","69","73","76"
"male","group C","some college","standard","none","48","41","45"
"female","group C","some college","standard","none","60","66","64"
"male","group D","high school","standard","none","95","83","85"
"male","group D","some college","standard","completed","96","82","88"
"male","group C","some college","standard","none","66","64","61"
"male","group D","bachelor's degree","free/reduced","none","56","54","56"
"male","group B","master's degree","standard","none","74","66","64"
"male","group A","some college","free/reduced","none","64","58","49"
"female","group E","associate's degree","free/reduced","completed","60","70","74"
"male","group A","associate's degree","free/reduced","none","44","42","41"
"male","group A","some high school","standard","completed","57","53","59"
"male","group D","some high school","free/reduced","none","60","50","50"
"male","group E","high school","standard","none","75","71","65"
"female","group B","associate's degree","standard","none","65","69","71"
"male","group D","some high school","standard","none","52","48","43"
"female","group B","high school","free/reduced","none","51","59","56"
"male","group C","associate's degree","standard","completed","69","71","71"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"female","group C","associate's degree","standard","completed","68","81","82"
"male","group B","some college","standard","completed","70","69","72"
"female","group C","high school","free/reduced","completed","62","73","75"
"male","group B","bachelor's degree","standard","none","72","66","70"
"female","group C","associate's degree","standard","none","60","75","72"
"female","group E","some college","standard","completed","85","87","93"
"male","group C","high school","standard","none","80","72","67"
"male","group B","high school","standard","none","82","71","69"
"female","group C","bachelor's degree","free/reduced","none","57","78","77"
"female","group D","high school","standard","none","81","89","88"
"female","group E","high school","standard","completed","76","71","75"
"male","group C","high school","standard","none","77","87","80"
"male","group D","some high school","standard","none","72","72","68"
"male","group D","high school","standard","none","92","81","85"
"female","group E","some college","free/reduced","completed","78","90","90"
"female","group D","bachelor's degree","standard","completed","74","87","86"
"female","group B","master's degree","free/reduced","completed","63","78","83"
"female","group D","some college","standard","completed","75","78","82"
"male","group B","some high school","standard","completed","87","75","71"
"female","group D","high school","standard","none","81","86","91"
"male","group B","some high school","free/reduced","none","32","30","33"
"female","group D","bachelor's degree","free/reduced","none","61","76","79"
"male","group C","some college","free/reduced","completed","59","51","56"
"female","group C","some high school","free/reduced","completed","72","83","89"
"male","group A","associate's degree","free/reduced","completed","85","67","78"
"male","group D","bachelor's degree","free/reduced","none","48","48","49"
"male","group D","some college","standard","none","75","65","59"
"female","group B","some high school","standard","none","91","92","86"
"female","group B","some high school","free/reduced","none","28","45","36"
"female","group D","some high school","standard","completed","84","94","99"
"male","group A","associate's degree","free/reduced","completed","74","77","81"
"female","group C","some college","standard","completed","53","71","73"
"female","group A","some college","standard","none","63","68","69"
"female","group D","associate's degree","free/reduced","none","55","67","65"
"male","group E","some college","free/reduced","completed","81","72","75"
"male","group C","some college","free/reduced","completed","69","71","68"
"male","group C","associate's degree","free/reduced","none","52","50","43"
"female","group E","some college","standard","none","86","98","92"
"female","group C","some college","standard","completed","71","82","91"
"female","group C","associate's degree","standard","none","83","84","86"
"male","group B","high school","standard","completed","91","89","87"
"female","group C","associate's degree","standard","completed","84","95","96"
"male","group C","some college","standard","none","68","72","65"
"female","group E","some high school","standard","completed","93","100","100"
"female","group C","bachelor's degree","standard","none","71","66","74"
"male","group B","bachelor's degree","standard","completed","72","61","67"
"female","group C","some high school","standard","completed","66","72","71"
"male","group C","associate's degree","standard","none","91","79","80"
"female","group E","some college","standard","completed","80","75","80"
"female","group D","associate's degree","free/reduced","none","63","82","83"
"female","group C","associate's degree","standard","none","64","59","61"
"female","group C","high school","standard","none","43","52","46"
"female","group D","some high school","standard","none","59","73","70"
"male","group A","bachelor's degree","free/reduced","none","73","67","62"
"male","group C","associate's degree","free/reduced","none","66","75","66"
"male","group B","some college","standard","none","65","61","64"
"female","group C","some college","standard","completed","64","71","77"
"female","group C","high school","standard","none","57","61","58"
"male","group C","some college","free/reduced","none","64","68","65"
"female","group E","master's degree","standard","none","84","85","87"
"female","group B","bachelor's degree","standard","none","53","65","63"
"male","group E","bachelor's degree","standard","none","88","77","70"
"female","group E","some college","standard","none","88","86","90"
"male","group E","bachelor's degree","standard","completed","73","69","73"
"male","group C","some college","free/reduced","completed","45","51","53"
"female","group C","some high school","free/reduced","none","65","81","80"
"male","group B","bachelor's degree","free/reduced","completed","78","81","83"
"male","group D","bachelor's degree","standard","none","68","66","63"
"male","group D","master's degree","standard","none","98","86","88"
"male","group B","high school","standard","none","57","54","43"
"female","group B","some college","standard","none","57","66","65"
"male","group D","some high school","standard","none","65","69","55"
"female","group C","associate's degree","standard","completed","68","84","83"
"male","group D","associate's degree","standard","none","72","55","64"
"male","group C","high school","free/reduced","completed","65","71","71"
"female","group E","bachelor's degree","standard","none","76","89","89"
"female","group C","some high school","standard","completed","62","81","80"
"female","group C","some high school","free/reduced","completed","62","75","70"
"female","group B","associate's degree","free/reduced","none","43","54","43"
"female","group C","bachelor's degree","free/reduced","completed","71","82","87"
"female","group B","some college","standard","none","65","71","66"
"female","group A","high school","standard","completed","64","73","70"
"female","group B","associate's degree","standard","none","45","56","55"
"female","group E","associate's degree","standard","none","76","76","80"
"female","group D","associate's degree","standard","none","57","71","71"
"female","group C","bachelor's degree","free/reduced","none","49","74","67"
"female","group E","high school","free/reduced","completed","52","62","65"
"female","group C","associate's degree","standard","none","68","68","71"
"female","group E","associate's degree","standard","none","63","72","68"
"female","group C","associate's degree","free/reduced","completed","69","77","79"
"male","group C","some college","free/reduced","completed","39","44","42"
"male","group C","some college","standard","none","70","66","62"
"male","group B","high school","free/reduced","none","40","34","35"
"female","group E","associate's degree","standard","completed","81","95","91"
"female","group E","associate's degree","standard","none","99","100","100"
"female","group C","high school","standard","none","83","90","91"
"male","group E","master's degree","standard","none","78","59","61"
"female","group D","associate's degree","standard","completed","97","96","100"
"male","group B","some college","standard","none","81","71","65"
"male","group D","high school","standard","none","81","75","78"
"male","group B","some college","free/reduced","completed","61","60","60"
"female","group D","some college","standard","completed","64","74","82"
"female","group C","high school","standard","none","29","43","36"
"female","group D","associate's degree","standard","none","53","57","51"
"male","group C","master's degree","standard","none","71","63","62"
"female","group C","some college","standard","none","80","86","90"
"male","group C","bachelor's degree","standard","none","71","67","66"
"male","group D","associate's degree","standard","none","62","51","54"
"female","group C","master's degree","standard","completed","65","80","76"
"female","group B","high school","free/reduced","none","55","61","56"
"female","group C","some high school","standard","none","43","51","44"
"female","group D","some college","standard","none","89","94","94"
"male","group D","high school","free/reduced","none","65","68","62"
"male","group E","associate's degree","standard","none","75","68","63"
"female","group B","some college","free/reduced","completed","32","50","54"
"male","group B","bachelor's degree","standard","none","90","76","80"
"female","group C","associate's degree","free/reduced","none","60","76","72"
"male","group B","high school","standard","completed","67","56","59"
"female","group D","high school","free/reduced","none","51","54","54"
"male","group B","some college","free/reduced","none","65","65","61"
"female","group C","high school","standard","completed","69","85","83"
"female","group C","associate's degree","free/reduced","none","54","64","68"
"female","group A","some high school","free/reduced","completed","48","59","57"
"male","group E","master's degree","standard","none","100","93","95"
"male","group D","some high school","free/reduced","completed","65","57","60"
"male","group B","high school","standard","completed","70","66","67"
"male","group B","some college","free/reduced","completed","45","35","38"
"male","group C","high school","standard","completed","55","42","49"
"female","group D","high school","standard","none","67","79","74"
"female","group D","some college","standard","completed","74","84","93"
"male","group D","bachelor's degree","standard","none","65","57","56"
"male","group D","some college","standard","none","57","51","54"
"male","group D","some college","standard","none","69","81","68"
"female","group D","some college","standard","completed","95","98","100"
"male","group B","associate's degree","standard","none","70","63","60"
"female","group D","master's degree","free/reduced","completed","78","92","98"
"male","group B","master's degree","standard","none","85","78","75"
"female","group B","high school","standard","completed","74","83","89"
"male","group C","associate's degree","free/reduced","none","73","72","70"
"male","group A","some high school","standard","completed","64","53","53"
"male","group D","some college","standard","completed","70","65","66"
"female","group E","bachelor's degree","standard","none","70","70","71"
"male","group E","some college","free/reduced","completed","66","65","61"
"female","group D","high school","free/reduced","none","52","71","71"
"female","group A","some college","standard","completed","67","80","82"
"male","group E","associate's degree","standard","completed","94","82","78"
"female","group B","master's degree","standard","none","91","89","93"
"female","group E","associate's degree","free/reduced","completed","72","78","74"
"male","group A","high school","standard","completed","78","73","72"
"male","group D","associate's degree","free/reduced","none","56","61","58"
"female","group C","some high school","standard","completed","75","81","86"
"male","group D","bachelor's degree","standard","none","91","73","80"
"female","group E","some high school","free/reduced","completed","55","69","68"
"female","group D","some high school","free/reduced","completed","54","60","66"
"male","group D","some high school","standard","completed","77","74","75"
"male","group B","master's degree","standard","none","70","66","66"
"female","group B","some college","standard","none","73","82","85"
"male","group B","high school","free/reduced","none","39","46","41"
"female","group B","associate's degree","free/reduced","none","51","57","54"
"female","group C","bachelor's degree","free/reduced","completed","77","91","92"
"female","group C","some college","standard","completed","78","87","91"
"male","group B","some high school","standard","none","81","78","69"
"male","group D","associate's degree","standard","none","68","64","63"
"female","group D","some college","free/reduced","completed","68","85","85"
"male","group C","associate's degree","free/reduced","none","63","62","64"
"male","group B","associate's degree","standard","none","74","64","63"
"male","group C","high school","standard","none","70","60","59"
"male","group D","some college","standard","none","75","60","54"
"male","group B","associate's degree","free/reduced","completed","69","75","69"
"female","group D","high school","free/reduced","completed","50","71","67"
"male","group C","high school","free/reduced","none","39","46","33"
"female","group E","bachelor's degree","standard","completed","83","87","98"
"female","group A","some college","standard","none","60","63","73"
"male","group B","some college","standard","completed","79","77","80"
"female","group C","high school","standard","none","57","73","73"
"male","group B","high school","standard","none","44","27","24"
"female","group B","master's degree","standard","completed","88","100","100"
"male","group D","some college","standard","none","83","81","77"
"male","group D","bachelor's degree","standard","none","86","82","81"
"male","group D","high school","standard","completed","60","67","65"
"female","group B","some high school","free/reduced","none","41","64","55"
"female","group C","some high school","standard","none","76","86","84"
"female","group A","some high school","standard","none","30","47","41"
"female","group A","some college","standard","none","81","88","85"
"male","group E","some college","standard","completed","88","77","77"
"male","group D","high school","standard","none","70","63","54"
"female","group E","bachelor's degree","free/reduced","none","81","79","82"
"male","group A","bachelor's degree","standard","none","88","77","83"
"female","group C","some college","standard","completed","54","75","73"
"male","group D","some high school","free/reduced","none","48","49","43"
"female","group C","high school","standard","none","66","85","79"
"male","group C","some high school","standard","completed","63","64","64"
"male","group A","some high school","free/reduced","none","73","63","68"
"male","group D","bachelor's degree","free/reduced","none","59","58","55"
"male","group D","bachelor's degree","standard","completed","72","72","70"
"male","group D","some high school","standard","none","60","64","63"
"female","group C","some high school","standard","completed","78","81","84"
"female","group C","some high school","free/reduced","none","33","51","50"
"male","group A","high school","standard","none","58","55","52"
"male","group C","high school","free/reduced","completed","68","71","68"
"female","group D","high school","free/reduced","completed","52","74","70"
"male","group B","high school","free/reduced","completed","39","45","39"
"male","group C","some high school","standard","completed","85","83","82"
"male","group C","some college","standard","completed","68","64","67"
"male","group C","some high school","standard","completed","70","76","75"
"female","group C","bachelor's degree","free/reduced","completed","41","54","52"
"male","group E","associate's degree","standard","none","80","69","70"
"female","group B","high school","free/reduced","none","47","59","49"
"male","group C","high school","free/reduced","none","50","56","50"
"female","group D","high school","standard","completed","73","79","87"
"male","group A","some college","free/reduced","completed","49","67","57"
"female","group E","high school","free/reduced","completed","56","59","63"
"male","group A","some high school","free/reduced","none","49","48","43"
"female","group C","some college","free/reduced","none","58","65","64"
"female","group B","high school","standard","none","81","89","84"
"male","group C","some college","standard","completed","84","84","79"
"female","group B","some college","standard","completed","49","62","64"
"female","group E","some high school","standard","completed","81","92","90"
"female","group C","some college","free/reduced","completed","62","80","85"
"female","group A","high school","standard","none","76","82","83"
"male","group B","associate's degree","standard","none","64","61","58"
"male","group D","master's degree","standard","none","83","83","78"
"female","group D","bachelor's degree","standard","none","85","89","95"
"female","group B","some college","standard","none","54","62","57"
"female","group B","some college","standard","completed","73","88","85"
"female","group B","associate's degree","free/reduced","completed","48","62","64"
"male","group B","high school","standard","none","60","64","54"
